course_id,title,level
1,Write A Feature Length Screenplay For Film Or Television,Beginner|Intermediate|Advanced
2,Business Strategy: Business Model Canvas Analysis with Miro,Beginner|Intermediate|Advanced
3,Silicon Thin Film Solar Cells,Beginner|Intermediate|Advanced
4,Finance for Managers,Beginner|Intermediate|Advanced
5,Retrieve Data using Single-Table SQL Queries,Beginner|Intermediate|Advanced
6,Building Test Automation Framework using Selenium and TestNG,Beginner|Intermediate|Advanced
7,Doing Business in China Capstone,Beginner|Intermediate|Advanced
8,"Programming Languages, Part A",Beginner|Intermediate|Advanced
9,The Roles and Responsibilities of Nonprofit Boards of Directors within the Governance Process,Beginner|Intermediate|Advanced
10,Business Russian Communication. Part 3,Beginner|Intermediate|Advanced
11,Agile Projects:  Developing Tasks with Taiga,Beginner|Intermediate|Advanced
12,Esports Management Capstone Project,Beginner|Intermediate|Advanced
13,Hacking and Patching,Beginner|Intermediate|Advanced
14,Business Statistics and Analysis Capstone,Beginner|Intermediate|Advanced
15,Grab Data Fast with Vertical and Horizontal LOOKUP,Beginner|Intermediate|Advanced
16,Global Health: An Interdisciplinary Overview,Beginner|Intermediate|Advanced
17,Python Programming Essentials,Beginner|Intermediate|Advanced
18,Creating Dashboards and Storytelling with Tableau,Beginner|Intermediate|Advanced
19,Parallel programming,Beginner|Intermediate|Advanced
20,Recommendation Systems with TensorFlow on GCP,Beginner|Intermediate|Advanced
21,The Changing Arctic,Beginner|Intermediate|Advanced
22,COVID-19 - A clinical update,Beginner|Intermediate|Advanced
23,How to Create Text Effects in GIMP,Beginner|Intermediate|Advanced
24,Preparing for the Google Cloud Professional Data Engineer Exam,Beginner|Intermediate|Advanced
25,Multiple Regression Analysis in Public Health,Beginner|Intermediate|Advanced
26,General Pathophysiology,Beginner|Intermediate|Advanced
27,Population Health: Alternative Payment Models,Beginner|Intermediate|Advanced
28,AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Beginner|Intermediate|Advanced
29,"Philosophy, Science and Religion: Philosophy and Religion",Beginner|Intermediate|Advanced
30,Poverty & Population: How Demographics Shape Policy,Beginner|Intermediate|Advanced
31,Electrodynamics: Analysis of Electric Fields,Beginner|Intermediate|Advanced
32,The Music of American English Pronunciation,Beginner|Intermediate|Advanced
33,Fundamentals of Management,Beginner|Intermediate|Advanced
34,Advanced Speaking and Listening Project,Beginner|Intermediate|Advanced
35,Hybrid Cloud Service Mesh with Anthos,Beginner|Intermediate|Advanced
36,Dealing With Missing Data,Beginner|Intermediate|Advanced
37,COBOL Programming with VSCode,Beginner|Intermediate|Advanced
38,Cryptography and Hashing Overview,Beginner|Intermediate|Advanced
39,Postman - Intro to APIs (without coding),Beginner|Intermediate|Advanced
40,Protecting Business Innovations via Patent,Beginner|Intermediate|Advanced
41,"Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Beginner|Intermediate|Advanced
42,Global Strategy I: How The Global Economy Works,Beginner|Intermediate|Advanced
43,Disability Inclusion in Education: Building Systems of Support,Beginner|Intermediate|Advanced
44,Introduction to Cybersecurity Tools & Cyber Attacks,Beginner|Intermediate|Advanced
45,Introduction to Cybersecurity Tools & Cyber Attacks,Beginner|Intermediate|Advanced
46,"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Beginner|Intermediate|Advanced
47,Foundations of Objective-C App Development,Beginner|Intermediate|Advanced
48,Programming Mobile Applications for Android Handheld Systems: Part 2,Beginner|Intermediate|Advanced
49,Analyzing Market Attractiveness Using Creately,Beginner|Intermediate|Advanced
50,Personal Leadership Development Planning and Leading High Performing Teams,Beginner|Intermediate|Advanced
51,Integrating Scripts for Scene Interactions,Beginner|Intermediate|Advanced
52,Voices of Social Change,Beginner|Intermediate|Advanced
53,"Managing Asthma, Allergies, Diabetes, and Seizures in School",Beginner|Intermediate|Advanced
54,Global Challenges in Business Capstone,Beginner|Intermediate|Advanced
55,Severe to Profound Intellectual Disability: Circles of Care and Education,Beginner|Intermediate|Advanced
56,Teaching Children with Visual Impairment: Creating Empowering Classrooms,Beginner|Intermediate|Advanced
57,Intercultural Communication and Conflict Resolution,Beginner|Intermediate|Advanced
58,Prediction and Control with Function Approximation,Beginner|Intermediate|Advanced
